TIC,TOI,Disposition,R_p,Period_p,Epoch_p,RA,Dec,H_mag,V_mag,M_*_TIC8,R_*_TIC8,Teff_*_TIC8,a/R*,N_pl
166648874,1806.01,VP,2.841,15.151205,1909.543414,166.118963,30.45875,10.275,15.193,0.39,0.4,3307,47.02,3
166648874,1806.02,VPC+,2.766,8.196076,1905.228249,166.118963,30.45875,10.275,15.193,0.39,0.4,3307,31.22,3
166648874,1806.03,VPC,1.845,0.501903,1899.698659,166.118963,30.45875,10.275,15.193,0.39,0.4,3307,4.85,3
180695581,1807.01,VP,1.541,0.54937,2664.070547,201.283316,38.922485,7.605,10,0.73,0.74,4673,3.43,1
307734817,1808.01,NPC,11.771,2.1075,1900.910995,171.597126,28.056549,10.911,12.127,1.26,1.59,6381,4.69,1
347329162,1809.01,KP,12.509,4.617052,2659.915254,183.366212,23.055675,10.603,12.091,1.04,1.11,5567,10.62,1
373693175,1810.01,KP,15.51,1.327348,2662.70189,188.266276,44.915333,10.723,12.146,0.98,1.07,5563,4.71,1
376524552,1811.01,P,11.752,3.71307,2661.050292,188.92258,27.214423,9.732,11.966,0.76,0.81,4698,11.32,1
207425167,1812.01,VPC,7.043,9999,1924.593048,242.747717,58.294553,10.384,12.431,0.84,0.74,5017,2495.56,3
207425167,1812.02,VPC,2.737,11.609818,1902.48287,242.747717,58.294553,10.384,12.431,0.84,0.74,5017,27.57,3
207425167,1812.03,VPC,5.092,48.332022,1909.510365,242.747717,58.294553,10.384,12.431,0.84,0.74,5017,71.34,3
377290815,1813.01,NEB,2.949,0.798,1684.12719,286.593092,56.629491,9.18,10.448,1.24,1.84,6224,2.12,1
160440924,1814.01,PC,5.141,6.368463,2653.488784,236.816782,77.23273,9.539,11.182,0.82,2.39,4902,5.67,1
233720539,1815.01,EB,20.536,2.555332,3559.904763,276.379271,63.4881,10.185,11.333,1.31,2.48,6300,3.47,1
