pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
K2-29 b,3.2588321,13.339,0.224,-0.224,59.54910714,232.0159,12.7132,-12.7132,18.25
HD 209458 b,3.52474859,15.581,0.224,-0.224,69.55803571,232.0159,12.7132,-12.7132,18.25
WASP-20 b,4.8996284,16.388,0.661,-0.661,24.79273828,98.841,5.403,-5.403,18.29372571
HAT-P-50 b,3.1220109,14.437,0.717,-0.717,20.13528591,429.0705,23.20159,-23.20159,18.49315068
CoRoT-19 b,3.89713,14.46,0.34,-0.34,42.52941176,352.78,19.07,-19.07,18.49921342
WASP-12 b,1.09142,21.712,0.628,-0.628,34.57324841,465.62095,25.10857,-25.10857,18.5443038
TOI-1107 b,4.0782387,14.572,0.56,-0.56,26.02142857,1064.72516,57.20911,-57.20911,18.61111211
NGTS-20 b,54.18915,11.994,0.448,-0.448,26.77232143,947.12865,50.85255,-47.67426,18.62499816
WASP-64 b,1.5732918,14.247,0.437,-0.437,32.60183066,403.945,21.612,-21.612,18.69077364
WASP-42 b,4.9816819,12.576,0.437,-0.437,28.77803204,167.49641,8.89924,-8.89924,18.82142857
HAT-P-23 b,1.212884,15.334,1.009,-1.009,15.19722498,664.237,35.278,-35.278,18.82864675
WASP-136 b,5.215357,15.468,1.793,-1.793,8.62688232,479.9233,25.4264,-25.4264,18.875
CoRoT-27 b,3.57532,11.287,0.493,-0.493,22.89452333,3302.11,174.8,-174.8,18.89078947
GJ 1214 b,1.58040433,2.742,0.05,-0.053,51.73584906,8.17,0.43,-0.43,19
TOI-5205 b,1.630757,11.6,0.3,-0.3,38.66666667,343,18,-17,19.05555556
K2-19 b,7.9222,7,0.2,-0.2,35,32.4,1.7,-1.7,19.05882353
HD 95338 b,55.087,3.89,0.19,-0.2,19.45,42.44,2.22,-2.08,19.11711712
WASP-59 b,7.919585,8.687,0.762,-0.762,11.40026247,274.276,14.302,-14.302,19.1774577
HATS-5 b,4.763387,10.223,0.28,-0.28,36.51071429,75.323,3.814,-3.914,19.2445069
WASP-85 A b,2.6556777,13.899,0.336,-0.336,41.36607143,402.05495,20.65895,-20.65895,19.46153846
WASP-153 b,3.332609,17.374,1.121,-0.897,15.49866191,123.9537,6.3566,-6.3566,19.5
KELT-23 A b,2.255251,14.83,0.28,-0.28,52.96428571,298.12454,15.25584,-13.98452,19.54166667
CoRoT-13 b,4.03519,9.92,0.157,-0.157,63.18471338,415.704,20.976,-20.976,19.8180778
HD 219134 c,6.76458,1.511,0.047,-0.047,32.14893617,4.36,0.22,-0.22,19.81818182
TOI-4463 A b,2.8807198,13.26,0.717,-0.504,18.49372385,252.35576,12.39531,-12.71314,19.84999457
TRAPPIST-1 b,1.510826,1.116,0.014,-0.012,79.71428571,1.374,0.069,-0.069,19.91304348
TOI-2196 b,1.1947268,3.51,0.15,-0.15,23.4,26,1.3,-1.3,20
Kepler-34 b,288.822,8.564,0.135,-0.157,54.5477707,69.92,3.496,-3.178,20
WASP-166 b,5.44354,7.062,0.336,-0.336,21.01785714,32.10083,1.58915,-1.58915,20.2
NGTS-10 b,0.7668944,13.507,1.311,-0.93,10.30282227,687.14846,29.24036,-34.00781,20.20560748
WASP-81 b,2.7164762,16.018,0.572,-0.516,28.0034965,231.69807,11.44188,-11.12405,20.25
HATS-23 b,2.1605156,20.849,3.363,-4.484,4.649643176,467.2101,22.88376,-22.88376,20.41666667
TOI-628 b,3.4095675,11.882,0.46,-0.381,25.83043478,2011.8639,92.1707,-98.5273,20.41935484
WASP-173 A b,1.38665318,13.451,0.673,-0.673,19.98662704,1172.7927,57.2094,-57.2094,20.5
TOI-2525 c,49.2519,10.133,0.112,-0.112,90.47321429,208.81326,9.85268,-10.17051,20.5312477
